测试套/软件包名,测试用例名,状态,日志文件,原因
OpenIPMI,oe_test_service_ipmi,fail,./oe-rv2309/mugen-riscv_v2/logs/OpenIPMI/oe_test_service_ipmi/2023-09-01-00_08_24.log,systemd 模块启动失败
dhcp,oe_test_service_dhcrelay,fail,./oe-rv2309/mugen-riscv_v2/logs/dhcp/oe_test_service_dhcrelay/2023-08-31-15_53_15.log,软件包未预装，使用127.0.0.1配置导致NODE1_NIC缺失
dnf,oe_test_dnf_all-repos,fail,./oe-rv2309/mugen-riscv_v2/logs/dnf/oe_test_dnf_all-repos/2023-08-31-09_16_53.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_enhancement_exclude,fail,./oe-rv2309/mugen-riscv_v2/logs/dnf/oe_test_dnf_enhancement_exclude/2023-08-31-09_31_34.log,"Error: There are no enabled repositories in ""/etc/yum.repos.d"""
,oe_test_dnf_makecache_clean,fail,./oe-rv2309/mugen-riscv_v2/logs/dnf/oe_test_dnf_makecache_clean/2023-08-31-09_24_11.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_nobest_nodocs_nogpgcheck,fail,./oe-rv2309/mugen-riscv_v2/logs/dnf/oe_test_dnf_nobest_nodocs_nogpgcheck/2023-08-31-09_35_01.log,"Error: There are no enabled repositories in ""/etc/yum.repos.d"""
,oe_test_dnf_priority,fail,./oe-rv2309/mugen-riscv_v2/logs/dnf/oe_test_dnf_priority/2023-08-31-09_35_58.log,"Error: There are no enabled repositories in ""/etc/yum.repos.d"""
,oe_test_dnf_provides_randomwait,fail,./oe-rv2309/mugen-riscv_v2/logs/dnf/oe_test_dnf_provides_randomwait/2023-08-31-09_36_30.log,没有对riscv架构进行适配
,oe_test_dnf_repeat-install,fail,./oe-rv2309/mugen-riscv_v2/logs/dnf/oe_test_dnf_repeat-install/2023-08-31-09_39_12.log,"Error: There are no enabled repositories in ""/etc/yum.repos.d"""
javapackages-tools,oe_test_gradle-local,fail,./oe-rv2309/mugen-riscv_v2/logs/javapackages-tools/oe_test_gradle-local/2023-08-31-15_20_13.log,nothing provides gradle >= 2.2.1-2 needed by gradle-local-5.3.0-5.oe2309.noarch from mainline
kernel,oe_test_kernel_cmd_03,fail,./oe-rv2309/mugen-riscv_v2/logs/kernel/oe_test_kernel_cmd_03/2023-08-31-09_13_10.log,perf: error while loading shared libraries: libperl.so.5.34: cannot open shared object file: No such file or directory
,oe_test_lpfc,fail,./oe-rv2309/mugen-riscv_v2/logs/kernel/oe_test_lpfc/2023-08-31-09_17_29.log,kernel module absent
,oe_test_service_cpupower,fail,./oe-rv2309/mugen-riscv_v2/logs/kernel/oe_test_service_cpupower/2023-08-31-09_14_24.log,preinstall absent
,oe_test_snd_aloop,fail,./oe-rv2309/mugen-riscv_v2/logs/kernel/oe_test_snd_aloop/2023-08-31-09_15_43.log,kernel module absent
,oe_test_vport-geneve,fail,./oe-rv2309/mugen-riscv_v2/logs/kernel/oe_test_vport-geneve/2023-08-31-09_16_58.log,modprobe: ERROR: could not insert 'vport_geneve': Unknown symbol in module
kpatch,oe_test_service_kpatch,fail,./oe-rv2309/mugen-riscv_v2/logs/kpatch/oe_test_service_kpatch/2023-09-01-01_27_04.log,源中无对应包
libvma,oe_test_service_vma,fail,./oe-rv2309/mugen-riscv_v2/logs/libvma/oe_test_service_vma/2023-09-01-06_55_23.log,源中无对应包
qemu,oe_test_service_qemu-pr-helper,fail,./oe-rv2309/mugen-riscv_v2/logs/qemu/oe_test_service_qemu-pr-helper/2023-08-31-20_12_49.log,软件安装出现依赖问题
,oe_test_socket_qemu-pr-helper,fail,./oe-rv2309/mugen-riscv_v2/logs/qemu/oe_test_socket_qemu-pr-helper/2023-08-31-20_13_59.log,软件安装出现依赖问题
rpcbind,oe_test_service_rpcbind,fail,./oe-rv2309/mugen-riscv_v2/logs/rpcbind/oe_test_service_rpcbind/2023-08-31-21_47_10.log,enable后找不到对应文件，但无法手动复现
,oe_test_socket_rpcbind,fail,./oe-rv2309/mugen-riscv_v2/logs/rpcbind/oe_test_socket_rpcbind/2023-08-31-21_48_55.log,enable后找不到对应文件，但无法手动复现
ruby,oe_test_irb_01,fail,./oe-rv2309/mugen-riscv_v2/logs/ruby/oe_test_irb_01/2023-08-31-14_10_29.log,x86 之前fail 在rc1已修复，为irb -d ../common/hello.rb报错
security-tool,oe_test_security_tool,fail,./oe-rv2309/mugen-riscv_v2/logs/security-tool/oe_test_security_tool/2023-08-31-21_47_17.log,脚本配置文件等均缺失，推断为软件未预装
,oe_test_service_openEuler-security,fail,./oe-rv2309/mugen-riscv_v2/logs/security-tool/oe_test_service_openEuler-security/2023-08-31-21_48_47.log,脚本配置文件等均缺失，推断为软件未预装
smoke-basic-os,oe_test_CPUinfo_001,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_CPUinfo_001/2023-09-01-01_34_24.log,测试套问题，预期输出不适合 rv 架构
,oe_test_MEMinfo_001,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_MEMinfo_001/2023-09-01-02_20_54.log,测试套问题，预期的 lshw 输出不适合 rv 架构
,oe_test_audit_fixed_memory_02,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_audit_fixed_memory_02/2023-08-31-21_52_49.log,Error: Error downloading packages:  audit-1:3.1.1-1.oe2309.riscv64: Cannot download
,oe_test_bbr_02,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_bbr_02/2023-08-31-21_55_42.log,镜像不支持bbr算法
,oe_test_criu,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_criu/2023-09-01-02_04_30.log,待测软件包 criu 不存在
,oe_test_firewalld_server,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_firewalld_server/2023-09-01-03_36_06.log,firewall-cmd --reload失败
,oe_test_grub2_mkconfig,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_grub2_mkconfig/2023-09-01-03_40_45.log,日志文件与预期不符合
,oe_test_iptables-save,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_iptables-save/2023-09-01-03_49_23.log,Incomplete display nat
,oe_test_llvm,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_llvm/2023-09-01-02_43_48.log,clang调用ld报错
,oe_test_log_001,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_log_001/2023-09-01-02_17_34.log,systemctl重启sshd后 /var/log/messages无信息更新
,oe_test_perf,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_perf/2023-09-01-02_27_25.log,perf list出现错误信息
,oe_test_perf_top_01,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_perf_top_01/2023-08-31-22_03_15.log,perf: error while loading shared libraries: libperl.so.5.34: cannot open shared object file: No such file or directory
,oe_test_skopeo,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_skopeo/2023-09-01-02_30_33.log,安装时出现依赖错误
,oe_test_user_debug_iotop_SCEN_01,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_user_debug_iotop_SCEN_01/2023-08-31-22_10_15.log,file missing
,oe_test_yumgroup_001,fail,./oe-rv2309/mugen-riscv_v2/logs/smoke-basic-os/oe_test_yumgroup_001/2023-09-01-02_36_38.log,oe-rv目前软件仓内并没有划分软件包组
unbound,oe_test_service_unbound,fail,./oe-rv2309/mugen-riscv_v2/logs/unbound/oe_test_service_unbound/2023-08-31-20_10_57.log,Error: Error downloading packages:  unbound-1.17.1-1.oe2309.riscv64: Cannot download
libreswan,oe_test_libreswan_ipsec_auto_2,fail,./oe-rv2309/mugen-riscv_v2/logs/libreswan/oe_test_libreswan_ipsec_auto_2/2023-09-03-01_29_46.log,"ipsec auto: unknown option ""--listgroups"" ""--rereadgroups"""
,oe_test_libreswan_ipsec_setup,fail,./oe-rv2309/mugen-riscv_v2/logs/libreswan/oe_test_libreswan_ipsec_setup/2023-09-03-01_13_26.log,ipsec setup --start timeout
,oe_test_libreswan_ipsec_showhostkey_nss,fail,./oe-rv2309/mugen-riscv_v2/logs/libreswan/oe_test_libreswan_ipsec_showhostkey_nss/2023-09-03-01_14_37.log,"ipsec showhostkey --dump ipsec showhostkey: authentication of ""NSS Certificate DB"" failed FATAL ERROR: ipsec showhostkey: NSS: could not authenticate slot"
,oe_test_libreswan_ipsec_systemctl,fail,./oe-rv2309/mugen-riscv_v2/logs/libreswan/oe_test_libreswan_ipsec_systemctl/2023-09-03-00_55_27.log,systemctl start ipsec.service timeout
accountsservice,oe_test_service_accounts-daemon,fail,./oe-rv2309/mugen-riscv_v2/logs/accountsservice/oe_test_service_accounts-daemon/2023-08-31-13_30_37.log,
amanda,oe_test_amanda_ambackup,fail,./oe-rv2309/mugen-riscv_v2/logs/amanda/oe_test_amanda_ambackup/2023-08-31-03_33_55.log,
,oe_test_amanda_amcheck,fail,./oe-rv2309/mugen-riscv_v2/logs/amanda/oe_test_amanda_amcheck/2023-08-31-03_31_30.log,
,oe_test_amanda_dump,fail,./oe-rv2309/mugen-riscv_v2/logs/amanda/oe_test_amanda_dump/2023-08-31-03_45_27.log,
asciidoc,oe_test_asciidoc_a2x_03,fail,./oe-rv2309/mugen-riscv_v2/logs/asciidoc/oe_test_asciidoc_a2x_03/2023-08-31-05_31_03.log,
ebtables,oe_test_service_ebtables,fail,./oe-rv2309/mugen-riscv_v2/logs/ebtables/oe_test_service_ebtables/2023-08-31-13_49_25.log,
fontconfig,oe_test_fc-list,fail,./oe-rv2309/mugen-riscv_v2/logs/fontconfig/oe_test_fc-list/2023-08-31-11_58_09.log,
ipset,oe_test_service_ipset,fail,./oe-rv2309/mugen-riscv_v2/logs/ipset/oe_test_service_ipset/2023-08-31-12_36_07.log,
keepalived,oe_test_service_keepalived,fail,./oe-rv2309/mugen-riscv_v2/logs/keepalived/oe_test_service_keepalived/2023-08-31-13_59_04.log,
libcgroup,oe_test_service_cgconfig,fail,./oe-rv2309/mugen-riscv_v2/logs/libcgroup/oe_test_service_cgconfig/2023-08-31-14_00_40.log,
lm_sensors,oe_test_service_fancontrol,fail,./oe-rv2309/mugen-riscv_v2/logs/lm_sensors/oe_test_service_fancontrol/2023-08-31-11_58_20.log,
,oe_test_service_lm_sensors,fail,./oe-rv2309/mugen-riscv_v2/logs/lm_sensors/oe_test_service_lm_sensors/2023-08-31-11_59_29.log,
lvm2,oe_test_service_lvmlockd,fail,./oe-rv2309/mugen-riscv_v2/logs/lvm2/oe_test_service_lvmlockd/2023-08-31-17_17_08.log,pkg not found/file missing/systemd unit restart failure/systemd unit runtime error
,oe_test_service_lvmlocks,fail,./oe-rv2309/mugen-riscv_v2/logs/lvm2/oe_test_service_lvmlocks/2023-08-31-17_17_45.log,pkg not found/file missing/systemd unit restart failure/systemd unit runtime error
,oe_test_socket_dm-event,fail,./oe-rv2309/mugen-riscv_v2/logs/lvm2/oe_test_socket_dm-event/2023-08-31-17_18_23.log,preinstall absent
net-snmp,oe_test_net-snmp_01,fail,./oe-rv2309/mugen-riscv_v2/logs/net-snmp/oe_test_net-snmp_01/2023-08-31-12_01_26.log,
,oe_test_net-snmp_02,fail,./oe-rv2309/mugen-riscv_v2/logs/net-snmp/oe_test_net-snmp_02/2023-08-31-12_02_30.log,
nfs-utils,oe_test_target_nfs-client,fail,./oe-rv2309/mugen-riscv_v2/logs/nfs-utils/oe_test_target_nfs-client/2023-08-31-03_53_47.log,
open-iscsi,oe_test_open-iscsi_iscsiadm,fail,./oe-rv2309/mugen-riscv_v2/logs/open-iscsi/oe_test_open-iscsi_iscsiadm/2023-08-31-04_14_47.log,
,oe_test_open-iscsi_iscsistart_iscsiuio,fail,./oe-rv2309/mugen-riscv_v2/logs/open-iscsi/oe_test_open-iscsi_iscsistart_iscsiuio/2023-08-31-04_16_07.log,
,oe_test_service_iscsi,fail,./oe-rv2309/mugen-riscv_v2/logs/open-iscsi/oe_test_service_iscsi/2023-08-31-04_18_31.log,
