测试套/软件包名,测试用例名,状态,日志文件,原因
graphviz,oe_test_graphviz,success,./mugen-riscv/logs/graphviz/oe_test_graphviz/2023-08-31-14_43_43.log,None
grub2,oe_test_service_grub-boot-indeterminate,success,./mugen-riscv/logs/grub2/oe_test_service_grub-boot-indeterminate/2023-09-03-01_54_33.log,None
,oe_test_service_grub2-systemd-integration,success,./mugen-riscv/logs/grub2/oe_test_service_grub2-systemd-integration/2023-09-03-01_54_51.log,None
gssproxy,oe_test_service_gssproxy,success,./mugen-riscv/logs/gssproxy/oe_test_service_gssproxy/2023-08-31-13_54_54.log,None
haveged,oe_test_service_haveged,success,./mugen-riscv/logs/haveged/oe_test_service_haveged/2023-09-03-16_08_45.log,None
httpd,oe_test_service_htcacheclean,success,./mugen-riscv/logs/httpd/oe_test_service_htcacheclean/2023-08-31-21_40_55.log,None
,oe_test_service_httpd-init,success,./mugen-riscv/logs/httpd/oe_test_service_httpd-init/2023-08-31-21_42_10.log,None
,oe_test_service_httpd,success,./mugen-riscv/logs/httpd/oe_test_service_httpd/2023-08-31-21_43_00.log,None
,oe_test_socket_httpd,success,./mugen-riscv/logs/httpd/oe_test_socket_httpd/2023-08-31-21_44_29.log,None
initial-setup,oe_test_service_initial-setup-reconfiguration,success,./mugen-riscv/logs/initial-setup/oe_test_service_initial-setup-reconfiguration/2023-09-03-16_08_46.log,None
intltool,oe_test_intltool_intltool-extract,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-extract/2023-09-02-11_39_45.log,None
,oe_test_intltool_intltool-merge_01,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-merge_01/2023-09-02-11_32_46.log,None
,oe_test_intltool_intltool-merge_02,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-merge_02/2023-09-02-11_34_52.log,None
,oe_test_intltool_intltool-prepare,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-prepare/2023-09-02-11_43_56.log,None
,oe_test_intltool_intltool-update,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltool-update/2023-09-02-11_37_01.log,None
,oe_test_intltool_intltoolize,success,./mugen-riscv/logs/intltool/oe_test_intltool_intltoolize/2023-09-02-11_45_36.log,None
krb5,oe_test_service_kadmin,success,./mugen-riscv/logs/krb5/oe_test_service_kadmin/2023-09-02-19_58_42.log,None
,oe_test_service_kprop,success,./mugen-riscv/logs/krb5/oe_test_service_kprop/2023-09-02-20_02_03.log,None
,oe_test_service_krb5kdc,success,./mugen-riscv/logs/krb5/oe_test_service_krb5kdc/2023-09-02-20_04_46.log,None
libaec,oe_test_libaec_aec,success,./mugen-riscv/logs/libaec/oe_test_libaec_aec/2023-09-03-22_35_49.log,None
libappstream-glib,oe_test_libappstream-glib_appstream-builder_01,success,./mugen-riscv/logs/libappstream-glib/oe_test_libappstream-glib_appstream-builder_01/2023-08-31-03_31_21.log,None
,oe_test_libappstream-glib_appstream-builder_02,success,./mugen-riscv/logs/libappstream-glib/oe_test_libappstream-glib_appstream-builder_02/2023-08-31-03_32_40.log,None
,oe_test_libappstream-glib_appstream-compose,success,./mugen-riscv/logs/libappstream-glib/oe_test_libappstream-glib_appstream-compose/2023-08-31-03_33_49.log,None
,oe_test_libappstream-glib_appstream-util_01,success,./mugen-riscv/logs/libappstream-glib/oe_test_libappstream-glib_appstream-util_01/2023-08-31-03_35_00.log,None
,oe_test_libappstream-glib_appstream-util_02,success,./mugen-riscv/logs/libappstream-glib/oe_test_libappstream-glib_appstream-util_02/2023-08-31-03_36_03.log,None
,oe_test_libappstream-glib_appstream-util_03,success,./mugen-riscv/logs/libappstream-glib/oe_test_libappstream-glib_appstream-util_03/2023-08-31-03_37_10.log,None
,oe_test_libappstream-glib_appstream-util_04,success,./mugen-riscv/logs/libappstream-glib/oe_test_libappstream-glib_appstream-util_04/2023-08-31-03_38_20.log,None
,oe_test_libappstream-glib_appstream-util_05,success,./mugen-riscv/logs/libappstream-glib/oe_test_libappstream-glib_appstream-util_05/2023-08-31-03_39_26.log,None
libcap,oe_test_acl_allow_change_nochange,success,./mugen-riscv/logs/libcap/oe_test_acl_allow_change_nochange/2023-09-02-10_36_10.log,None
,oe_test_acl_allow_change_ownership,success,./mugen-riscv/logs/libcap/oe_test_acl_allow_change_ownership/2023-09-02-10_35_32.log,None
,oe_test_acl_bind_port,success,./mugen-riscv/logs/libcap/oe_test_acl_bind_port/2023-09-02-10_38_40.log,None
,oe_test_acl_ignore_dal_across,success,./mugen-riscv/logs/libcap/oe_test_acl_ignore_dal_across/2023-09-02-10_34_31.log,None
,oe_test_acl_manage_net,success,./mugen-riscv/logs/libcap/oe_test_acl_manage_net/2023-09-02-10_40_57.log,None
,oe_test_acl_ordinary_users_setgid,success,./mugen-riscv/logs/libcap/oe_test_acl_ordinary_users_setgid/2023-09-02-10_37_45.log,None
,oe_test_acl_send_kill_notbelong,success,./mugen-riscv/logs/libcap/oe_test_acl_send_kill_notbelong/2023-09-02-10_37_02.log,None
,oe_test_acl_verwrite_previous_rules,success,./mugen-riscv/logs/libcap/oe_test_acl_verwrite_previous_rules/2023-09-02-10_35_10.log,None
,oe_test_libcap,success,./mugen-riscv/logs/libcap/oe_test_libcap/2023-09-02-10_34_01.log,None
libesmtp,oe_test_libesmtp,success,./mugen-riscv/logs/libesmtp/oe_test_libesmtp/2023-09-03-16_45_17.log,None
libksba,oe_test_libksba,success,./mugen-riscv/logs/libksba/oe_test_libksba/2023-08-31-14_46_39.log,None
libldb,oe_test_libldb,success,./mugen-riscv/logs/libldb/oe_test_libldb/2023-08-31-14_03_18.log,None
libmicrohttpd,oe_test_libmicrohttpd,success,./mugen-riscv/logs/libmicrohttpd/oe_test_libmicrohttpd/2023-09-03-16_45_28.log,None
libtar,oe_test_libtar,success,./mugen-riscv/logs/libtar/oe_test_libtar/2023-08-31-14_03_33.log,None
libunistring,oe_test_libunistring,success,./mugen-riscv/logs/libunistring/oe_test_libunistring/2023-09-03-17_22_19.log,None
libxslt,oe_test_libxslt,success,./mugen-riscv/logs/libxslt/oe_test_libxslt/2023-08-31-14_04_45.log,None
lldpad,oe_test_service_lldpad,success,./mugen-riscv/logs/lldpad/oe_test_service_lldpad/2023-08-31-12_54_07.log,None
,oe_test_socket_lldpad,success,./mugen-riscv/logs/lldpad/oe_test_socket_lldpad/2023-08-31-12_55_31.log,None
lmdb,oe_test_lmdb,success,./mugen-riscv/logs/lmdb/oe_test_lmdb/2023-09-03-17_23_14.log,None
