测试套/软件包名,测试用例名,状态,与23RC1对比,日志文件,原因
,oe_test_FSIO_touch_file,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_touch_file/2023-10-11-07:05:35.log,None
,oe_test_FSIO_zip_unzip,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_zip_unzip/2023-10-11-07:05:46.log,None
,oe_test_FSIO_zip_unzip_overfs,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_zip_unzip_overfs/2023-10-11-07:06:02.log,None
FS_FileSystem,oe_test_FSIO_create_squashfs,fail,RC5fail,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_create_squashfs/2023-10-11-21:35:25.log,
,oe_test_FSIO_change_fs,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_change_fs/2023-10-11-21:34:35.log,x86 fail
,oe_test_FSIO_create_ext3,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_create_ext3/2023-10-11-20:59:44.log,x86 fail
,oe_test_FSIO_create_ext4,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_create_ext4/2023-10-11-21:33:30.log,x86 fail
,oe_test_FSIO_ext3_resize2fs,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_ext3_resize2fs/2023-10-11-22:09:30.log,x86 fail
,oe_test_FSIO_ext4_resize2fs,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_ext4_resize2fs/2023-10-11-21:31:57.log,x86 fail
,oe_test_FSIO_mount_ext3_ro,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_ro/2023-10-11-21:37:51.log,x86 fail
,oe_test_FSIO_mount_ext3_rw,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_rw/2023-10-11-21:00:57.log,x86 fail
,oe_test_FSIO_mount_ext3_setErrors,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_setErrors/2023-10-11-21:35:15.log,x86 fail
,oe_test_FSIO_mount_ext3_sync,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_sync/2023-10-11-21:35:51.log,x86 fail
,oe_test_FSIO_mount_ext4_block_validity,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_block_validity/2023-10-11-21:32:50.log,x86 fail
,oe_test_FSIO_mount_ext4_discard,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_discard/2023-10-11-21:35:35.log,x86 fail
,oe_test_FSIO_mount_ext4_noblock_validity,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_noblock_validity/2023-10-11-20:59:59.log,x86 fail
,oe_test_FSIO_mount_ext4_nodiscard,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_nodiscard/2023-10-11-20:59:52.log,x86 fail
,oe_test_FSIO_mount_ext4_ro,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_ro/2023-10-11-21:33:22.log,x86 fail
,oe_test_FSIO_mount_ext4_setErrors,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_setErrors/2023-10-11-22:09:57.log,x86 fail
,oe_test_FSIO_mount_ext4_sync,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_sync/2023-10-11-22:10:23.log,x86 fail
,oe_test_FSIO_mount_reboot,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_reboot/2023-10-11-21:38:09.log,x86 fail
,oe_test_FSIO_mount_remount,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_remount/2023-10-11-21:34:17.log,x86 fail
,oe_test_FSIO_mount_umount_ext4,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_umount_ext4/2023-10-11-22:08:19.log,x86 fail
,oe_test_FSIO_mount_umount_xfs,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_umount_xfs/2023-10-11-22:10:50.log,x86 fail
,oe_test_FSIO_mount_xfs_discard,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_discard/2023-10-11-22:09:22.log,x86 fail
,oe_test_FSIO_mount_xfs_ro,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_ro/2023-10-11-21:32:07.log,x86 fail
,oe_test_FSIO_mount_xfs_rw,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_rw/2023-10-11-21:31:49.log,x86 fail
,oe_test_FSIO_mount_xfs_sync,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_sync/2023-10-11-21:00:06.log,x86 fail
,oe_test_FSIO_mount_xfs_xfsrestore,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_xfsrestore/2023-10-11-21:01:06.log,x86 fail
,oe_test_FSIO_mv_rm_mount,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mv_rm_mount/2023-10-11-21:31:40.log,x86 fail
,oe_test_FSIO_remkfs,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_remkfs/2023-10-11-22:09:14.log,x86 fail
,oe_test_FSIO_umount_by_openfile,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_umount_by_openfile/2023-10-11-22:10:06.log,x86 fail
,oe_test_FSIO_xfs_resize2fs,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_xfs_resize2fs/2023-10-11-21:32:21.log,x86 fail
,oe_test_FSIO_check_fs_mounted,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_check_fs_mounted/2023-10-11-21:32:16.log,None
,oe_test_FSIO_dd_mkfs,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_dd_mkfs/2023-10-11-21:36:29.log,None
,oe_test_FSIO_mount_ext3_setData,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_setData/2023-10-11-21:35:43.log,None
,oe_test_FSIO_mount_xfs_xfsdump,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_xfsdump/2023-10-11-21:35:00.log,None
,oe_test_FSIO_overlay_modify_1,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_overlay_modify_1/2023-10-11-21:34:45.log,None
,oe_test_FSIO_overlay_modify_2,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_overlay_modify_2/2023-10-11-21:36:15.log,None
,oe_test_FSIO_overlay_mount,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_overlay_mount/2023-10-11-21:32:30.log,None
,oe_test_FSIO_overlay_rename_1,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_overlay_rename_1/2023-10-11-22:09:07.log,None
,oe_test_FSIO_overlay_rename_2,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_overlay_rename_2/2023-10-11-22:08:31.log,None
,oe_test_FSIO_overlay_rm_2,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_overlay_rm_2/2023-10-11-21:36:22.log,None
,oe_test_FSIO_overlay_rm_3,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_FileSystem/oe_test_FSIO_overlay_rm_3/2023-10-11-21:32:58.log,None
ModemManager,oe_test_service_ModemManager,success,same,./oe-rv2309/mugen-riscv_rc5/logs/ModemManager/oe_test_service_ModemManager/2023-10-10-20_32_23.log,None
NetworkManager,oe_test_libnetfilter_conntrack,success,same,./oe-rv2309/mugen-riscv_rc5/logs/NetworkManager/oe_test_libnetfilter_conntrack/2023-10-10-19_54_57.log,None
,oe_test_service_NetworkManager,success,same,./oe-rv2309/mugen-riscv_rc5/logs/NetworkManager/oe_test_service_NetworkManager/2023-10-10-19_53_34.log,None
,oe_test_service_NetworkManager-dispatcher,success,same,./oe-rv2309/mugen-riscv_rc5/logs/NetworkManager/oe_test_service_NetworkManager-dispatcher/2023-10-10-19_52_58.log,None
,oe_test_service_NetworkManager-wait-online,success,same,./oe-rv2309/mugen-riscv_rc5/logs/NetworkManager/oe_test_service_NetworkManager-wait-online/2023-10-10-19_54_16.log,None
,oe_test_service_nm-cloud-setup,success,same,./oe-rv2309/mugen-riscv_rc5/logs/NetworkManager/oe_test_service_nm-cloud-setup/2023-10-10-19_54_48.log,None
PackageKit,oe_test_packagekit_pkcon,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/PackageKit/oe_test_packagekit_pkcon/2023-10-11-12:05:20.log,x86 fail
