测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
cyrus-sasl,oe_test_service_saslauthd,succeed,unknown,./mugen-riscv/logs/cyrus-sasl/oe_test_service_saslauthd/2023-08-08-11:34:05.log,
anaconda,oe_test_service_anaconda-pre,succeed,unknown,./mugen-riscv/logs/anaconda/oe_test_service_anaconda-pre/2023-08-08-03:50:35.log,
,oe_test_service_anaconda-sshd,succeed,unknown,./mugen-riscv/logs/anaconda/oe_test_service_anaconda-sshd/2023-08-08-03:51:10.log,
,oe_test_service_anaconda-direct,succeed,unknown,./mugen-riscv/logs/anaconda/oe_test_service_anaconda-direct/2023-08-08-03:35:33.log,
,oe_test_service_anaconda-nm-config,succeed,unknown,./mugen-riscv/logs/anaconda/oe_test_service_anaconda-nm-config/2023-08-08-03:50:00.log,
,oe_test_service_instperf,succeed,unknown,./mugen-riscv/logs/anaconda/oe_test_service_instperf/2023-08-08-03:51:28.log,
,oe_test_service_anaconda-noshell,succeed,unknown,./mugen-riscv/logs/anaconda/oe_test_service_anaconda-noshell/2023-08-08-03:50:17.log,
,oe_test_service_zram,failed,unknown,./mugen-riscv/logs/anaconda/oe_test_service_zram/2023-08-08-03:51:46.log,
,oe_test_service_anaconda,succeed,unknown,./mugen-riscv/logs/anaconda/oe_test_service_anaconda/2023-08-08-03:50:53.log,
,oe_test_target_anaconda,succeed,unknown,./mugen-riscv/logs/anaconda/oe_test_target_anaconda/2023-08-08-03:52:29.log,
,oe_test_service_anaconda-fips,succeed,unknown,./mugen-riscv/logs/anaconda/oe_test_service_anaconda-fips/2023-08-08-03:52:45.log,
nss-pam-ldapd,oe_test_service_nslcd,succeed,unknown,./mugen-riscv/logs/nss-pam-ldapd/oe_test_service_nslcd/2023-08-08-11:56:09.log,
asciidoc,oe_test_asciidoc_a2x_03,failed,09fail,./mugen-riscv/logs/asciidoc/oe_test_asciidoc_a2x_03/2023-08-08-10:35:01.log,
,oe_test_asciidoc_asciidoc_01,succeed,unknown,./mugen-riscv/logs/asciidoc/oe_test_asciidoc_asciidoc_01/2023-08-09-10:34:55.log,
,oe_test_asciidoc_a2x_02,succeed,unknown,./mugen-riscv/logs/asciidoc/oe_test_asciidoc_a2x_02/2023-08-09-10:42:06.log,
,oe_test_asciidoc_a2x_01,succeed,unknown,./mugen-riscv/logs/asciidoc/oe_test_asciidoc_a2x_01/2023-08-08-18:53:22.log,
,oe_test_asciidoc_asciidoc_02,succeed,unknown,./mugen-riscv/logs/asciidoc/oe_test_asciidoc_asciidoc_02/2023-08-08-16:57:49.log,
haveged,oe_test_service_haveged,succeed,unknown,./mugen-riscv/logs/haveged/oe_test_service_haveged/2023-08-08-11:44:26.log,
createrepo_c,oe_test_createrepo_c_local_repo,succeed,unknown,./mugen-riscv/logs/createrepo_c/oe_test_createrepo_c_local_repo/2023-08-08-12:38:05.log,
iptables,oe_test_ip6tables-save,failed,unknown,./mugen-riscv/logs/iptables/oe_test_ip6tables-save/2023-08-08-10:23:52.log,
,oe_test_service_iptables,failed,unknown,./mugen-riscv/logs/iptables/oe_test_service_iptables/2023-08-08-10:22:24.log,
,oe_test_service_ip6tables,failed,unknown,./mugen-riscv/logs/iptables/oe_test_service_ip6tables/2023-08-08-10:21:44.log,
,oe_test_iptables-restore,failed,unknown,./mugen-riscv/logs/iptables/oe_test_iptables-restore/2023-08-08-10:23:06.log,
,oe_test_ip6tables-restore_01,failed,unknown,./mugen-riscv/logs/iptables/oe_test_ip6tables-restore_01/2023-08-08-10:24:37.log,
brltty,oe_test_service_brltty,succeed,unknown,./mugen-riscv/logs/brltty/oe_test_service_brltty/2023-08-08-11:28:38.log,
nfs-utils,oe_test_service_nfs-lock,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_nfs-lock/2023-08-08-03:05:31.log,
,oe_test_service_auth-rpcgss-module,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_auth-rpcgss-module/2023-08-08-02:59:16.log,
,oe_test_service_rpc-statd,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_rpc-statd/2023-08-08-03:17:05.log,
,oe_test_service_nfs-blkmap,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_nfs-blkmap/2023-08-08-03:00:32.log,
,oe_test_target_rpc_pipefs,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_target_rpc_pipefs/2023-08-08-03:19:35.log,
,oe_test_service_nfsdcld,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_nfsdcld/2023-08-08-03:01:49.log,
,oe_test_service_nfs-idmap,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_nfs-idmap/2023-08-08-03:04:17.log,
,oe_test_service_nfs-server,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_nfs-server/2023-08-08-03:10:43.log,
,oe_test_service_nfs-secure,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_nfs-secure/2023-08-08-03:09:29.log,
,oe_test_service_nfs-mountd,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_nfs-mountd/2023-08-08-03:08:14.log,
,oe_test_service_nfs,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_nfs/2023-08-08-03:12:05.log,
,oe_test_service_rpc-statd-notify,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_rpc-statd-notify/2023-08-08-03:15:52.log,
,oe_test_target_nfs-client,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_target_nfs-client/2023-08-08-03:18:19.log,
,oe_test_service_nfs-utils,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_nfs-utils/2023-08-08-03:13:26.log,
