测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
,oe_test_FSIO_zip_unzip,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_zip_unzip/2023-08-09-02:39:25.log,None
,oe_test_FSIO_zip_unzip_overfs,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_zip_unzip_overfs/2023-08-09-02:39:52.log,None
FS_FileSystem,oe_test_FSIO_change_fs,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_change_fs/2023-08-09-02:13:49.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_create_ext3,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_ext3/2023-08-09-02:14:46.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_create_ext4,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_ext4/2023-08-09-02:15:08.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_create_squashfs,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_squashfs/2023-08-11-02_29_40.log,软件squashfs-tools未安装
,oe_test_FSIO_create_xfs,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_xfs/2023-08-09-02:15:26.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_dd_mkfs,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_dd_mkfs/2023-08-11-00_24_13.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_loop_fs,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_loop_fs/2023-08-11-00_32_47.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_automount,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_automount/2023-08-11-00_33_37.log,ssh连接不稳定，加之虚拟机重启后可能失联导致超时失败
,oe_test_FSIO_mount_block_dir,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_block_dir/2023-08-09-02:21:27.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_character_dir,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_character_dir/2023-08-11-01_04_36.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_empty_dir,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_empty_dir/2023-08-11-01_05_15.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_nonempty_dir,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_nonempty_dir/2023-08-09-02:31:18.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_reboot,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_reboot/2023-08-11-01_18_27.log,ssh连接不稳定，加之虚拟机重启后可能失联导致超时失败
,oe_test_FSIO_mount_remount,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_remount/2023-08-09-02:31:49.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_umount_xfs,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_umount_xfs/2023-08-09-02:33:12.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_dax,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_dax/2023-08-09-02:33:42.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_discard,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_discard/2023-08-09-02:34:47.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_nodiscard,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_nodiscard/2023-08-09-02:35:08.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_ro,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_ro/2023-08-09-02:35:30.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_rw,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_rw/2023-08-09-02:35:53.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_sync,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_sync/2023-08-09-02:36:15.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_remkfs,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_remkfs/2023-08-09-02:43:10.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_umount_busy,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_umount_busy/2023-08-11-02_27_02.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_umount_by_openfile,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_umount_by_openfile/2023-08-09-02:54:55.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_xfs_resize2fs,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_xfs_resize2fs/2023-08-09-02:55:19.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_check_fs_type,fail,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_check_fs_type/2023-08-11-00_22_04.log,The system doesn't support ext4.
,oe_test_FSIO_check_fs_mounted,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_check_fs_mounted/2023-08-11-00_21_41.log,None
,oe_test_FSIO_ext3_resize2fs,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_ext3_resize2fs/2023-08-09-02:19:03.log,None
,oe_test_FSIO_ext4_e4defrag,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_ext4_e4defrag/2023-08-09-02:19:27.log,None
,oe_test_FSIO_ext4_resize2fs,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_ext4_resize2fs/2023-08-09-02:20:35.log,None
,oe_test_FSIO_mount_ext3_ro,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_ro/2023-08-09-02:22:58.log,None
,oe_test_FSIO_mount_ext3_rw,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_rw/2023-08-09-02:23:26.log,None
,oe_test_FSIO_mount_ext3_setData,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_setData/2023-08-09-02:23:53.log,None
,oe_test_FSIO_mount_ext3_setErrors,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_setErrors/2023-08-09-02:24:21.log,None
,oe_test_FSIO_mount_ext3_sync,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_sync/2023-08-09-02:24:46.log,None
,oe_test_FSIO_mount_ext3_to_ext4,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_to_ext4/2023-08-09-02:26:28.log,None
,oe_test_FSIO_mount_ext4_block_validity,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_block_validity/2023-08-09-02:26:57.log,None
,oe_test_FSIO_mount_ext4_delalloc,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_delalloc/2023-08-09-02:27:19.log,None
,oe_test_FSIO_mount_ext4_discard,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_discard/2023-08-09-02:27:40.log,None
,oe_test_FSIO_mount_ext4_noblock_validity,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_noblock_validity/2023-08-09-02:28:04.log,None
,oe_test_FSIO_mount_ext4_nodiscard,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_nodiscard/2023-08-09-02:28:28.log,None
,oe_test_FSIO_mount_ext4_ro,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_ro/2023-08-09-02:28:52.log,None
,oe_test_FSIO_mount_ext4_rw,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_rw/2023-08-09-02:29:15.log,None
,oe_test_FSIO_mount_ext4_setData,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_setData/2023-08-09-02:29:35.log,None
,oe_test_FSIO_mount_ext4_setErrors,success,same,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext4_setErrors/2023-08-09-02:29:55.log,None
