测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_lvm2_vgchange_001,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_vgchange_001/2023-08-09-03_31_22.log,mugen中suite2cases文档中无add disk信息，2303riscv为重测通过
,oe_test_lvm2_vgchange_002,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_vgchange_002/2023-08-09-03_35_32.log,mugen中suite2cases文档中无add disk信息，2303riscv为重测通过
,oe_test_lvm2_vgcreate_001,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_vgcreate_001/2023-08-09-03_25_49.log,mugen中suite2cases文档中无add disk信息，2303riscv为重测通过
,oe_test_lvm2_vgdisplay_001,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_vgdisplay_001/2023-08-09-03_27_29.log,mugen中suite2cases文档中无add disk信息，2303riscv为重测通过
,oe_test_lvm2_vgexport_001,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_vgexport_001/2023-08-09-03_34_37.log,mugen中suite2cases文档中无add disk信息，2303riscv为重测通过
,oe_test_lvm2_vgextend_001,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_vgextend_001/2023-08-09-03_33_20.log,mugen中suite2cases文档中无add disk信息，2303riscv为重测通过
,oe_test_lvm2_vgextend_002,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_vgextend_002/2023-08-09-03_32_23.log,mugen中suite2cases文档中无add disk信息，2303riscv为重测通过
,oe_test_lvm2_vgrename_001,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_vgrename_001/2023-08-09-03_28_14.log,mugen中suite2cases文档中无add disk信息，2303riscv为重测通过
lxc,oe_test_lxc_unshare_update,fail,./oe-rv2309/mugen-riscv/logs/lxc/oe_test_lxc_unshare_update/2023-08-08-03_30_15.log,
lxcfs,oe_test_service_lxcfs,fail,./oe-rv2309/mugen-riscv/logs/lxcfs/oe_test_service_lxcfs/2023-08-08-16_50_22.log,软件包 lxcfs-tools 安装依赖出错，nothing provides libabsl_synchronization.so.2206.0.0()(64bit) needed by iSulad-2.1.2-4.oe2309.riscv64
net-tools,oe_test_net-tools_ipmaddr,fail,./oe-rv2309/mugen-riscv/logs/net-tools/oe_test_net-tools_ipmaddr/2023-08-12-22_21_35.log,
netcf,oe_test_service_netcf-transaction,fail,./oe-rv2309/mugen-riscv/logs/netcf/oe_test_service_netcf-transaction/2023-08-08-11_47_03.log,重新测试通过
openscap,oe_test_ensure_security_compliance,fail,./oe-rv2309/mugen-riscv/logs/openscap/oe_test_ensure_security_compliance/2023-08-08-21_04_08.log,2309中找不到openscap软件包、没有scap-security-guide的依赖
openssh,oe_test_openssh_ssh-copy-id,fail,./oe-rv2309/mugen-riscv/logs/openssh/oe_test_openssh_ssh-copy-id/2023-08-11-00_35_09.log,ssh-keygen 没有生成 pubkey 导致 /usr/bin/ssh-copy-id: ERROR: failed to open ID file '/root/.ssh/id_rsa.pub': No such file or directory
os-basic,oe_test_IOaccess_1Gfile,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_IOaccess_1Gfile/2023-08-08-21_11_39.log,测试超时，手动重测通过
,oe_test_IOaccess_500Mfile,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_IOaccess_500Mfile/2023-08-08-20_23_20.log,测试超时，手动重测通过
,oe_test_ProcMgmt_at,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_ProcMgmt_at/2023-08-08-19_48_34.log,systemd-253-1 问题
,oe_test_ProcMgmt_sar,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_ProcMgmt_sar/2023-08-08-19_38_11.log,systemd-253-1 问题
,oe_test_chrony_Manuall,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_chrony_Manuall/2023-08-08-20_19_15.log,systemd-253-1 问题
,oe_test_chrony_chronyc_cmd,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_chrony_chronyc_cmd/2023-08-08-20_09_34.log,systemd-253-1 问题
,oe_test_chrony_chronyc_hardwaretime,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_chrony_chronyc_hardwaretime/2023-08-08-20_11_53.log,systemd-253-1 问题
,oe_test_chrony_chronyc_ntpstat,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_chrony_chronyc_ntpstat/2023-08-08-20_14_15.log,systemd-253-1 问题
,oe_test_chrony_chronyd,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_chrony_chronyd/2023-08-08-20_16_46.log,systemd-253-1 问题
,oe_test_date,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_date/2023-08-08-19_59_22.log,systemd-253-1 问题
,oe_test_disk_tuned_disable,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_disk_tuned_disable/2023-08-08-20_02_43.log,systemd-253-1 问题
,oe_test_disk_tuned_install,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_disk_tuned_install/2023-08-08-19_57_34.log,systemd-253-1 问题
,oe_test_disk_tuned_modify,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_disk_tuned_modify/2023-08-08-20_00_48.log,systemd-253-1 问题
