测试套/软件包名,测试用例名,状态,日志文件,原因
gdm,oe_test_service_gdm,fail,./oe-rv2309/mugen-riscv/logs/gdm/oe_test_service_gdm/2023-08-08-20_22_28.log,"2309上没有gnome-shell的依赖 package gdm-1:43.0-1.oe2309.riscv64 requires gnome-shell, but none of the providers can be installed"
iSulad,oe_test_iSulad_container,fail,./oe-rv2309/mugen-riscv/logs/iSulad/oe_test_iSulad_container/2023-08-09-04_19_54.log,软件包安装时发生依赖错误 nothing provides libabsl_synchronization.so.2206.0.0()(64bit) needed by iSulad-2.1.2-4.oe2309.riscv64
,oe_test_iSulad_resource_mapping,fail,./oe-rv2309/mugen-riscv/logs/iSulad/oe_test_iSulad_resource_mapping/2023-08-09-04_18_00.log,软件包安装时发生依赖错误
,oe_test_iSulad_resource_restriction_cgroup,fail,./oe-rv2309/mugen-riscv/logs/iSulad/oe_test_iSulad_resource_restriction_cgroup/2023-08-09-04_19_03.log,软件包安装时发生依赖错误
,oe_test_service_isulad,fail,./oe-rv2309/mugen-riscv/logs/iSulad/oe_test_service_isulad/2023-08-09-04_16_32.log,软件包安装时发生依赖错误
initscripts,oe_test_service_import-state,fail,./oe-rv2309/mugen-riscv/logs/initscripts/oe_test_service_import-state/2023-08-09-10_01_31.log,import-state.service启动命令返回值为零但启动失败
ipmitool,oe_test_service_ipmievd,fail,./oe-rv2309/mugen-riscv/logs/ipmitool/oe_test_service_ipmievd/2023-08-08-10_58_31.log,内核模块 ipmi_si 不存在
javapackages-tools,oe_test_gradle-local,fail,./oe-rv2309/mugen-riscv/logs/javapackages-tools/oe_test_gradle-local/2023-08-08-10_18_41.log,
kmod,oe_test_depmod,fail,./oe-rv2309/mugen-riscv/logs/kmod/oe_test_depmod/2023-08-09-03_48_11.log,与oe2303x86的情况相同，find Module.symvers与System.map均为空
,oe_test_modinfo,fail,./oe-rv2309/mugen-riscv/logs/kmod/oe_test_modinfo/2023-08-09-03_51_22.log,modinfo -p raid1 无输出
libosinfo,oe_test_osinfo-db-import,fail,./oe-rv2309/mugen-riscv/logs/libosinfo/oe_test_osinfo-db-import/2023-08-08-10_53_45.log,导出文件名按照当前时间命名，测试脚本中写死了
lvm2,oe_test_lvm2_pvcreate_001,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_pvcreate_001/2023-08-09-03_24_22.log,mugen中suite2cases文档中无add disk信息
,oe_test_lvm2_pvcreate_002,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_pvcreate_002/2023-08-09-03_23_06.log,mugen中suite2cases文档中无add disk信息
,oe_test_lvm2_pvmove_001,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_pvmove_001/2023-08-09-03_25_05.log,mugen中suite2cases文档中无add disk信息
,oe_test_lvm2_pvmove_002,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_pvmove_002/2023-08-09-03_29_37.log,mugen中suite2cases文档中无add disk信息
,oe_test_lvm2_pvresize_001,fail,./oe-rv2309/mugen-riscv/logs/lvm2/oe_test_lvm2_pvresize_001/2023-08-09-03_23_44.log,mugen中suite2cases文档中无add disk信息
lxc,oe_test_lxc_autostart_cgroup,fail,./oe-rv2309/mugen-riscv/logs/lxc/oe_test_lxc_autostart_cgroup/2023-08-08-03_27_44.log,没有对应的软件包
,oe_test_lxc_create_attach,fail,./oe-rv2309/mugen-riscv/logs/lxc/oe_test_lxc_create_attach/2023-08-08-03_25_10.log,没有对应的软件包
