测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_iputils_ping6_03,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/iputils/oe_test_iputils_ping6_03/2023-09-12-13:45:40.log,配置文件无多机器信息
,oe_test_iputils_ping_04,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/iputils/oe_test_iputils_ping_04/2023-09-12-13:44:05.log,配置文件无多机器信息
,oe_test_service_rdisc,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/iputils/oe_test_service_rdisc/2023-09-12-13:50:17.log,配置文件无多机器信息
,oe_test_service_ninfod,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/iputils/oe_test_service_ninfod/2023-09-12-13:49:01.log,配置文件无多机器信息
,oe_test_iputils_ping6_04,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/iputils/oe_test_iputils_ping6_04/2023-09-12-13:46:12.log,配置文件无多机器信息
qpdf,oe_test_qpdf_qpdf_01,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/qpdf/oe_test_qpdf_qpdf_01/2023-09-12-13:52:11.log,x86 fail
,oe_test_qpdf_qpdf_10,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/qpdf/oe_test_qpdf_qpdf_10/2023-09-12-13:56:02.log,x86 fail
,oe_test_qpdf_qpdf_08,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/qpdf/oe_test_qpdf_qpdf_08/2023-09-12-13:55:14.log,x86 fail
,oe_test_qpdf_qpdf_02,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/qpdf/oe_test_qpdf_qpdf_02/2023-09-12-13:52:38.log,x86 fail
,oe_test_qpdf_qpdf_03,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/qpdf/oe_test_qpdf_qpdf_03/2023-09-12-13:53:07.log,x86 fail
dracut,oe_test_service_dracut-initramfs,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/dracut/oe_test_service_dracut-initramfs/2023-09-12-14:01:04.log,原因相同，dracut: Will not override existing initramfs (/boot/initramfs-6.4.0-1.0.0.4.oe2309.riscv64.img) without --force
