测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
,oe_test_FSIO_create_block,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_block/2023-08-09-02:30:03.log,None
,oe_test_FSIO_create_character,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_character/2023-08-09-02:30:28.log,None
,oe_test_FSIO_create_mv_hardlink,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_mv_hardlink/2023-08-09-02:31:18.log,None
,oe_test_FSIO_create_softlink,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_softlink/2023-08-09-02:31:43.log,None
,oe_test_FSIO_create_softlink_diff_fs,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_softlink_diff_fs/2023-08-09-02:32:01.log,None
,oe_test_FSIO_create_softlink_dir,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_softlink_dir/2023-08-09-02:32:25.log,None
,oe_test_FSIO_create_softlink_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_softlink_file/2023-08-09-02:32:40.log,None
,oe_test_FSIO_dd_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_dd_file/2023-08-09-02:32:58.log,None
,oe_test_FSIO_gzip,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_gzip/2023-08-09-02:33:49.log,None
,oe_test_FSIO_gzip_overfs,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_gzip_overfs/2023-08-09-02:34:13.log,None
,oe_test_FSIO_modify_magicfile,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_modify_magicfile/2023-08-09-02:35:13.log,None
,oe_test_FSIO_mv_file_1,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_mv_file_1/2023-08-09-02:35:29.log,None
,oe_test_FSIO_mv_file_2,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_mv_file_2/2023-08-09-02:35:54.log,None
,oe_test_FSIO_rename_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_rename_file/2023-08-09-02:36:19.log,None
,oe_test_FSIO_rm_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_rm_file/2023-08-09-02:37:22.log,None
,oe_test_FSIO_rm_hardlink,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_rm_hardlink/2023-08-09-02:37:38.log,None
,oe_test_FSIO_rm_softlink,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_rm_softlink/2023-08-09-02:37:54.log,None
,oe_test_FSIO_tar,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_tar/2023-08-09-02:38:29.log,None
,oe_test_FSIO_touch_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_touch_file/2023-08-09-02:39:08.log,None
,oe_test_FSIO_zip_unzip,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_zip_unzip/2023-08-09-02:39:25.log,None
,oe_test_FSIO_zip_unzip_overfs,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_zip_unzip_overfs/2023-08-09-02:39:52.log,None
accountsservice,oe_test_service_accounts-daemon,success,same,./oe-rv2309/mugen-riscv/logs/accountsservice/oe_test_service_accounts-daemon/2023-08-09-04:50:12.log,None
acpid,oe_test_acpid_01,success,same,./oe-rv2309/mugen-riscv/logs/acpid/oe_test_acpid_01/2023-08-09-04:04:06.log,None
,oe_test_acpid_02,success,same,./oe-rv2309/mugen-riscv/logs/acpid/oe_test_acpid_02/2023-08-09-04:05:22.log,None
,oe_test_acpid_03,success,same,./oe-rv2309/mugen-riscv/logs/acpid/oe_test_acpid_03/2023-08-09-04:06:38.log,None
,oe_test_service_acpid,success,same,./oe-rv2309/mugen-riscv/logs/acpid/oe_test_service_acpid/2023-08-09-04:01:14.log,None
,oe_test_socket_acpid,success,same,./oe-rv2309/mugen-riscv/logs/acpid/oe_test_socket_acpid/2023-08-09-04:02:41.log,None
audit,oe_test_audit_ausearch,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_ausearch/2025-08-09-03:30:50.log,软件未安装
,oe_test_audit_available_disk_space,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_available_disk_space/2023-08-09-03:21:32.log,软件未安装
,oe_test_audit_count_number_of_event,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_count_number_of_event/2023-08-09-03:02:05.log,软件未安装
,oe_test_audit_count_time,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_count_time/2023-08-09-03:01:50.log,软件未安装
,oe_test_audit_event_log,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_event_log/2025-08-09-03:29:41.log,软件未安装
,oe_test_audit_fetch_file_in_order,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_fetch_file_in_order/2023-08-09-03:00:44.log,软件未安装
,oe_test_audit_max_log_file_ignore,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_ignore/2023-08-09-03:05:20.log,软件未安装
,oe_test_audit_max_log_file_keep_logs,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_keep_logs/2023-08-09-03:20:11.log,软件未安装
,oe_test_audit_max_log_file_rotate,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_rotate/2023-08-09-03:04:01.log,软件未安装
