测试套/软件包名,测试用例名,状态,日志文件,原因
acl,oe_test_access_providepam,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_access_providepam/2023-09-11-21_07_09.log,None
,oe_test_acl_add_write_permissions,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_add_write_permissions/2023-09-11-21_04_36.log,None
,oe_test_acl_backup_recovery,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_backup_recovery/2023-09-11-21_08_03.log,None
,oe_test_acl_chacl,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_chacl/2023-09-11-21_06_01.log,None
,oe_test_acl_change_mask,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_change_mask/2023-09-11-21_04_52.log,None
,oe_test_acl_check_create,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_check_create/2023-09-11-21_05_12.log,None
,oe_test_acl_defaulr_rule,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_defaulr_rule/2023-09-11-21_05_23.log,None
,oe_test_acl_default_kernel_setting,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_default_kernel_setting/2023-09-11-21_07_54.log,None
,oe_test_acl_delete_acl,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_delete_acl/2023-09-11-21_08_15.log,None
,oe_test_acl_dir_read,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_dir_read/2023-09-11-21_09_02.log,None
,oe_test_acl_dir_write,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_dir_write/2023-09-11-21_08_27.log,None
,oe_test_acl_file,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_file/2023-09-11-21_07_20.log,None
,oe_test_acl_file_authorize,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_file_authorize/2023-09-11-21_09_48.log,None
,oe_test_acl_getfacl,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_getfacl/2023-09-11-21_06_25.log,None
,oe_test_acl_only_root_permission,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_only_root_permission/2023-09-11-21_05_35.log,None
,oe_test_acl_setfacl,success,./oe-rv2309/mugen-riscv_v4/logs/acl/oe_test_acl_setfacl/2023-09-11-21_06_46.log,None
automake,oe_test_automake,success,./oe-rv2309/mugen-riscv_v4/logs/automake/oe_test_automake/2023-09-11-21_57_26.log,None
babeltrace,oe_test_babeltrace,success,./oe-rv2309/mugen-riscv_v4/logs/babeltrace/oe_test_babeltrace/2023-09-11-21_59_28.log,None
bison,oe_test_bison,success,./oe-rv2309/mugen-riscv_v4/logs/bison/oe_test_bison/2023-09-11-22_16_59.log,None
bluez,oe_test_service_bluetooth-mesh,success,./oe-rv2309/mugen-riscv_v4/logs/bluez/oe_test_service_bluetooth-mesh/2023-09-11-21_46_09.log,None
,oe_test_service_bluetooth,success,./oe-rv2309/mugen-riscv_v4/logs/bluez/oe_test_service_bluetooth/2023-09-11-21_46_18.log,None
