测试套/软件包名,测试用例名,状态,原因
,oe_test_meson_0.63_meson_05,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_10,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_11,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_12,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_13,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_14,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_15,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_18,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_19,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_20,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_23,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_24,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_25,not tested,no pkg in pkglist
,oe_test_meson_0.63_meson_26,not tested,no pkg in pkglist
mysql5,oe_test_service_mysqld,not tested,no pkg in pkglist
netcdf,oe_test_netcdf,not tested,no pkg in pkglist
nvml,oe_test_nvml_daxio,not tested,no pkg in pkglist
,oe_test_nvml_pmempool,not tested,no pkg in pkglist
,oe_test_nvml_rpmemd,not tested,no pkg in pkglist
oemaker,oe_test_oemaker,not tested,no pkg in pkglist
postgresql_20.03,lib,not tested,no pkg in pkglist
pwgen,oe_test_pwgen_01,not tested,no pkg in pkglist
python-wheel,oe_test_python-wheel_python2-wheel_command,not tested,no pkg in pkglist
python_docutils,oe_test_python-docutils_rst2html4_01,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2html4_02,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2html4_03,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2html5_01,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2html5_02,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2html5_03,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2html_01,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2html_02,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2html_03,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2latex_01,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2latex_02,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2latex_03,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2latex_04,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2man_01,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2man_02,not tested,no pkg in pkglist
,oe_test_python-docutils_rst2man_03,not tested,no pkg in pkglist
