测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_raptor2_rapper_base_04,success,./mugen-riscv/logs/raptor2/oe_test_raptor2_rapper_base_04/2023-04-26-22:26:03.log,None
,oe_test_raptor2_rapper_base_03,success,./mugen-riscv/logs/raptor2/oe_test_raptor2_rapper_base_03/2023-04-26-22:24:43.log,None
pngcrush,oe_test_pngcrush_05,success,./mugen-riscv/logs/pngcrush/oe_test_pngcrush_05/2023-04-26-19:29:23.log,None
,oe_test_pngcrush_01,success,./mugen-riscv/logs/pngcrush/oe_test_pngcrush_01/2023-04-26-19:22:54.log,None
,oe_test_pngcrush_04,success,./mugen-riscv/logs/pngcrush/oe_test_pngcrush_04/2023-04-26-19:27:58.log,None
,oe_test_pngcrush_02,success,./mugen-riscv/logs/pngcrush/oe_test_pngcrush_02/2023-04-26-19:25:04.log,None
,oe_test_pngcrush_03,success,./mugen-riscv/logs/pngcrush/oe_test_pngcrush_03/2023-04-26-19:26:34.log,None
rsync,oe_test_service_rsyncd,success,./mugen-riscv/logs/rsync/oe_test_service_rsyncd/2023-04-27-00:13:10.log,None
,oe_test_socket_rsyncd,success,./mugen-riscv/logs/rsync/oe_test_socket_rsyncd/2023-04-27-00:15:24.log,None
opencryptoki,oe_test_service_pkcsslotd,success,./mugen-riscv/logs/opencryptoki/oe_test_service_pkcsslotd/2023-04-26-12:26:29.log,None
webbench,oe_test_webbench,success,./mugen-riscv/logs/webbench/oe_test_webbench/2023-04-27-05:04:30.log,None
opensm,oe_test_service_opensm,success,./mugen-riscv/logs/opensm/oe_test_service_opensm/2023-04-26-13:48:07.log,None
xmltoman,oe_test_xmltoman,success,./mugen-riscv/logs/xmltoman/oe_test_xmltoman/2023-04-27-06:16:28.log,None
nss-pam-ldapd,oe_test_service_nslcd,success,./mugen-riscv/logs/nss-pam-ldapd/oe_test_service_nslcd/2023-04-26-12:03:49.log,None
redland,oe_test_redland_rdfproc_01,success,./mugen-riscv/logs/redland/oe_test_redland_rdfproc_01/2023-04-26-23:16:35.log,None
,oe_test_redland_rdfproc_02,success,./mugen-riscv/logs/redland/oe_test_redland_rdfproc_02/2023-04-26-23:18:09.log,None
spice-vdagent,oe_test_service_spice-vdagentd,success,./mugen-riscv/logs/spice-vdagent/oe_test_service_spice-vdagentd/2023-04-27-03:05:46.log,None
,oe_test_socket_spice-vdagentd,success,./mugen-riscv/logs/spice-vdagent/oe_test_socket_spice-vdagentd/2023-04-27-03:06:43.log,None
smartmontools,oe_test_service_smartd,success,./mugen-riscv/logs/smartmontools/oe_test_service_smartd/2023-04-27-02:45:11.log,None
pcp-export-pcp2json,oe_test_pcp2json_03,success,./mugen-riscv/logs/pcp-export-pcp2json/oe_test_pcp2json_03/2023-04-26-16:49:20.log,None
,oe_test_pcp2json_05,success,./mugen-riscv/logs/pcp-export-pcp2json/oe_test_pcp2json_05/2023-04-26-17:10:21.log,None
,oe_test_pcp2json_02,success,./mugen-riscv/logs/pcp-export-pcp2json/oe_test_pcp2json_02/2023-04-26-16:39:43.log,None
,oe_test_pcp2json_01,success,./mugen-riscv/logs/pcp-export-pcp2json/oe_test_pcp2json_01/2023-04-26-16:30:59.log,None
,oe_test_pcp2json_04,success,./mugen-riscv/logs/pcp-export-pcp2json/oe_test_pcp2json_04/2023-04-26-16:59:57.log,None
ostree,oe_test_service_ostree-finalize-staged,success,./mugen-riscv/logs/ostree/oe_test_service_ostree-finalize-staged/2023-04-26-14:47:31.log,None
paps,oe_test_paps,success,./mugen-riscv/logs/paps/oe_test_paps/2023-04-26-15:32:58.log,None
uuid,oe_test_uuid_2,success,./mugen-riscv/logs/uuid/oe_test_uuid_2/2023-04-28-01:32:41.log,None
,oe_test_uuid_1,success,./mugen-riscv/logs/uuid/oe_test_uuid_1/2023-04-28-01:31:08.log,None
tidy,oe_test_tidy_diagnostics_options,success,./mugen-riscv/logs/tidy/oe_test_tidy_diagnostics_options/2023-04-27-04:36:02.log,None
,oe_test_tidy_xml,success,./mugen-riscv/logs/tidy/oe_test_tidy_xml/2023-04-27-04:31:41.log,None
,oe_test_tidy_cleanup_options,success,./mugen-riscv/logs/tidy/oe_test_tidy_cleanup_options/2023-04-27-04:38:21.log,None
,oe_test_tidy_encoding_options,success,./mugen-riscv/logs/tidy/oe_test_tidy_encoding_options/2023-04-27-04:37:12.log,None
,oe_test_tidy_repair_options,success,./mugen-riscv/logs/tidy/oe_test_tidy_repair_options/2023-04-27-04:40:53.log,None
