测试套/软件包名,测试用例名,状态,日志文件,原因
glib2,oe_test_glib2,fail,./mugen-riscv/logs/glib2/oe_test_glib2/2023-05-25-16_48_06.log,镜像没有预装测试所需的 kernel-headers
graphviz,oe_test_service_zvbid,fail,./mugen-riscv/logs/graphviz/oe_test_service_zvbid/2023-05-26-22:11:36.log,
initscripts,oe_test_service_import-state,fail,./mugen-riscv/logs/initscripts/oe_test_service_import-state/2023-05-27-01:00:01.log,preinstall absent/systemd unit restart failure/systemd unit runtime error
,oe_test_service_loadmodules,fail,./mugen-riscv/logs/initscripts/oe_test_service_loadmodules/2023-05-27-01:01:03.log,preinstall absent/systemd unit restart failure/systemd unit runtime error
kernel,oe_test_hqlogic,fail,./mugen-riscv/logs/kernel/oe_test_hqlogic/2023-05-25-17_09_19.log,内核模块缺失 qla2xxx
,oe_test_ipip,fail,./mugen-riscv/logs/kernel/oe_test_ipip/2023-05-25-17_07_08.log,内核模块缺失 ipip
,oe_test_kernel_cmd_01,fail,./mugen-riscv/logs/kernel/oe_test_kernel_cmd_01/2023-05-25-17_00_23.log,测试使用 hostnamectl | grep Virtualization 判断是否为虚拟机，而 qemu-system-riscv64 不适用这个方法
,oe_test_lpfc,fail,./mugen-riscv/logs/kernel/oe_test_lpfc/2023-05-25-17_11_35.log,内核模块缺失 lpfc
,oe_test_qxl,fail,./mugen-riscv/logs/kernel/oe_test_qxl/2023-05-25-17_10_14.log,内核模块缺失 qxl
,oe_test_service_cpupower,fail,./mugen-riscv/logs/kernel/oe_test_service_cpupower/2023-05-25-17_06_08.log,测试使用 hostnamectl | grep Virtualization 判断是否为虚拟机，而 qemu-system-riscv64 不适用这个方法
,oe_test_snd_aloop,fail,./mugen-riscv/logs/kernel/oe_test_snd_aloop/2023-05-25-17_08_23.log,内核模块缺失 snd-aloop
,oe_test_softdog,fail,./mugen-riscv/logs/kernel/oe_test_softdog/2023-05-25-17_12_40.log,内核模块缺失 softdog
,oe_test_vport-geneve,fail,./mugen-riscv/logs/kernel/oe_test_vport-geneve/2023-05-25-17_10_48.log,内核模块缺失 vport-geneve
,oe_test_wangxun,fail,./mugen-riscv/logs/kernel/oe_test_wangxun/2023-05-25-17_13_55.log,内核模块缺失 ngbe.ko txgbe.ko
,oe_test_xfs,fail,./mugen-riscv/logs/kernel/oe_test_xfs/2023-05-25-17_13_30.log,内核模块缺失 xfs
kmod,oe_test_rmmod,fail,./mugen-riscv/logs/kmod/oe_test_rmmod/2023-05-25-17_05_55.log,内核模块缺失 dm_log dm_mirror dm_region_hash
,oe_test_weak-modules,fail,./mugen-riscv/logs/kmod/oe_test_weak-modules/2023-05-25-17_06_19.log,镜像没有预装测试所需的 dracut （引入后 Unable to decompress /boot/initramfs-6.1.8-3.oe2303.riscv64.img: Unknown format）
libarchive,oe_test_libarchive_bsdcpio,fail,./mugen-riscv/logs/libarchive/oe_test_libarchive_bsdcpio/2023-06-02-09_35_39.log,
lvm2,oe_test_service_lvmlockd,fail,./mugen-riscv/logs/lvm2/oe_test_service_lvmlockd/2023-05-25-17_30_48.log,oerv 缺失软件包 lvm2-locked
,oe_test_service_lvmlocks,fail,./mugen-riscv/logs/lvm2/oe_test_service_lvmlocks/2023-05-25-17_32_35.log,oerv 缺失软件包 lvm2-locked
systemd,oe_test_socket_syslog,fail,./mugen-riscv/logs/systemd/oe_test_socket_syslog/2023-05-25-21_41_08.log,镜像没有预装测试所需的 rsyslog
ipset,oe_test_service_ipset_02,fail,./mugen-riscv/logs/ipset/oe_test_service_ipset_02/2023-06-02-03:14:42.log,
,oe_test_ipset_01,fail,./mugen-riscv/logs/ipset/oe_test_ipset_01/2023-06-02-03:15:50.log,
javapackages-tools,oe_test_binary_files_operation,fail,./mugen-riscv/logs/javapackages-tools/oe_test_binary_files_operation/2023-06-02-05:38:07.log,file missing
,oe_test_build-jar-repository,fail,./mugen-riscv/logs/javapackages-tools/oe_test_build-jar-repository/2023-06-02-05:43:17.log,
libreswan,oe_test_libreswan_ipsec_addconn,fail,./mugen-riscv/logs/libreswan/oe_test_libreswan_ipsec_addconn/2023-06-02-10:05:50.log,timeout
,oe_test_libreswan_ipsec_auto_1,fail,./mugen-riscv/logs/libreswan/oe_test_libreswan_ipsec_auto_1/2023-06-02-10:08:43.log,timeout
libvirt,oe_test_socket_virtinterfaced-ro,fail,./mugen-riscv/logs/libvirt/oe_test_socket_virtinterfaced-ro/2023-06-02-11:12:50.log,
,oe_test_socket_virtnetworkd-admin,fail,./mugen-riscv/logs/libvirt/oe_test_socket_virtnetworkd-admin/2023-06-02-11:26:17.log,
lksctp-tools,oe_test_lksctp-tools_checksctp,fail,./mugen-riscv/logs/lksctp-tools/oe_test_lksctp-tools_checksctp/2023-06-02-12:54:34.log,
,oe_test_lksctp-tools_sctp_darn_02,fail,./mugen-riscv/logs/lksctp-tools/oe_test_lksctp-tools_sctp_darn_02/2023-06-02-13:25:57.log,
,oe_test_lksctp-tools_sctp_status,fail,./mugen-riscv/logs/lksctp-tools/oe_test_lksctp-tools_sctp_status/2023-06-02-13:26:57.log,
,oe_test_lksctp-tools_sctp_test,fail,./mugen-riscv/logs/lksctp-tools/oe_test_lksctp-tools_sctp_test/2023-06-02-13:28:11.log,
